block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
6,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,2,brian.jpg|,right,738,0,7310127
6,Pierre|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,6,brian.jpg|,right,724,0,7310127
6,Pleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,13,Kind|,left,1043,0,7310127
5,Pierre|,20,"Brian,Pierre",ybalab.daniel.death1.0001,6,iat,0,brian1.jpg|,right,1223,0,7310127
3,Brian|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,6,james2.jpg|,right,836,0,7310127
4,Pleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,23,Nice|,left,750,0,7310127
4,Pierre|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,26,brian2.jpg|,left,661,0,7310127
4,Unpleasant|,20,"Pleasant/Pierre,Unpleasant/Brian",ybalab.daniel.death1.0001,6,iat,9,Annoying|,right,1001,0,7310127
7,Unpleasant|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,7,Nasty|,right,1453,0,7310127
7,Brian|,20,"Pleasant/Brian,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,14,james1.jpg|,left,653,0,7310127
3,Pierre|,20,"Pleasant/Francois,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,12,james2.jpg|,right,695,0,7310267
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,16,Evil|,right,726,0,7310267
2,Unpleasant|,20,"Pleasant,Unpleasant",ybalab.daniel.death1.0001,6,iat,5,Annoying|,right,838,0,7310267
3,Pleasant|,20,"Pleasant/Francois,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,7,Considerate|,left,727,0,7310267
3,Unpleasant|,20,"Pleasant/Francois,Unpleasant/Pierre",ybalab.daniel.death1.0001,6,iat,13,Ugly|,right,742,0,7310267
1,Pierre|,20,"Francois,Pierre",ybalab.daniel.death1.0001,6,iat,0,james2.jpg|,right,2332,0,7310267
1,Francois|,20,"Francois,Pierre",ybalab.daniel.death1.0001,6,iat,1,brian2.jpg|,left,793,0,7310267
1,Francois|,20,"Francois,Pierre",ybalab.daniel.death1.0001,6,iat,5,brian1.jpg|,left,444,0,7310267
1,Pierre|,20,"Francois,Pierre",ybalab.daniel.death1.0001,6,iat,11,james.jpg|,right,1140,0,7310267
